Month,Number of Rides,Mean Duration,1Q Duration,3Q Duration,Median Duration,Mean Age,StdDev Age,Min Age,Max Age,1Q Age,3Q Age,Median Age,Unknown Gender Users,Male Users,Female Users,Short-Term Pass Uses,Annual Pass Uses
2017-01,12926.0,9.629512868121141,3.683333333333333,8.366666666666667,5.166666666666667,37.88421052631579,10.033105237588561,18.0,86.0,31.0,43.0,36.0,443,10016,2467,81,12827
2017-02,14026.0,10.163136318266062,3.6333333333333333,8.916666666666666,5.233333333333333,37.97131178563318,10.223979646683983,18.0,86.0,31.0,43.0,36.0,893,10422,2711,456,13504
2017-03,12201.0,11.239260443133087,3.6166666666666667,8.266666666666667,5.133333333333334,37.65683508591947,10.206044754173211,18.0,86.0,30.0,42.0,35.0,567,9195,2439,193,11975
2017-04,21186.0,15.348558796689712,3.95,11.133333333333333,6.116666666666666,37.28600426794358,10.151177194066895,16.0,117.0,30.0,42.0,35.0,2072,15093,4021,1829,19357
2017-05,25966.0,16.342460653675328,3.933333333333333,10.416666666666666,5.983333333333333,37.19348124713816,10.02429963126114,19.0,86.0,30.0,42.0,35.0,2035,18611,5320,1641,24325
2017-06,32060.0,14.34339363693081,4.116666666666666,10.9,6.333333333333333,36.86483375093113,9.995082961951963,17.0,130.0,29.0,42.0,34.0,2622,22656,6782,1978,30082
2017-07,33573.0,12.799205214507582,4.133333333333334,11.266666666666667,6.4,36.65119393721621,9.983383962354166,16.0,130.0,29.0,42.0,34.0,3079,23331,7163,2628,30945
2017-08,35472.0,14.043917268080017,3.9833333333333334,10.416666666666666,6.0,36.70868518123342,10.278685163219684,16.0,130.0,29.0,42.0,34.0,2829,25131,7512,2470,33002
2017-09,33119.0,12.61503366647544,3.966666666666667,10.166666666666666,5.916666666666667,36.87496339677892,10.049419896339277,16.0,130.0,30.0,42.0,34.0,2546,23364,7209,2133,30986
2017-10,34919.0,9.921286405681723,3.8666666666666667,9.216666666666667,5.616666666666666,36.86093220597662,10.297430252966967,18.0,130.0,29.0,42.0,35.0,2321,24970,7628,1837,33082
2017-11,23582.0,8.822887513074983,3.6666666666666665,8.183333333333334,5.166666666666667,37.11194193974049,10.242592990599556,16.0,86.0,29.0,42.0,35.0,987,17656,4939,559,23023
2017-12,15898.0,7.680606575250555,3.55,7.766666666666667,4.983333333333333,37.62079233557742,10.704928508306615,18.0,130.0,30.0,43.0,35.0,531,12264,3103,225,15673
2018-01,12677.0,8.888121532434068,3.6,7.766666666666667,5.066666666666666,39.01719649759407,10.81532727803087,19.0,131.0,31.0,46.0,37.0,428,9798,2451,185,12492
2018-02,15104.0,8.057717602401171,3.533333333333333,7.65,4.933333333333334,38.968286546610166,10.685037192931526,19.0,131.0,31.0,45.0,36.0,498,11849,2757,189,14915
2018-03,17109.0,8.939280495645544,3.55,7.766666666666667,4.966666666666667,38.67204395347478,10.461215874013693,19.0,130.0,31.0,45.0,37.0,794,13231,3084,436,16673
2018-04,23634.0,11.154751629009048,3.683333333333333,9.133333333333333,5.433333333333334,38.42908521621393,10.26142367113715,16.0,130.0,30.0,46.0,36.0,1676,17207,4751,1743,21891
2018-05,34456.0,13.59918785310728,3.9166666666666665,9.766666666666667,5.833333333333333,38.36733805433016,10.422798540810858,17.0,130.0,30.0,46.0,36.0,2539,24839,7078,2458,31998
2018-06,40937.0,12.767135272898924,4.033333333333333,10.2,6.033333333333333,37.922295234140265,10.171263820594021,16.0,130.0,30.0,46.0,35.0,3105,28787,9045,3187,37750
2018-07,42268.0,12.191299564682502,4.033333333333333,10.483333333333333,6.033333333333333,37.52988076085928,10.140360745454664,16.0,130.0,30.0,45.0,35.0,3348,29463,9457,3794,38474
2018-08,44432.0,11.63256961949345,3.9166666666666665,9.45,5.766666666666667,37.06461559236586,10.12178046354974,16.0,130.0,30.0,43.0,34.0,2996,31529,9907,3158,41274
2018-09,39022.0,12.37292424786011,3.9833333333333334,10.066666666666666,5.95,37.07160063553893,10.192076486222259,16.0,130.0,29.0,44.0,35.0,2774,27790,8458,3524,35498
2018-10,39138.0,9.832005978843883,3.75,8.712499999999999,5.433333333333334,36.93717103582196,10.130957040587072,16.0,130.0,29.0,43.0,34.0,1600,28889,8649,2004,37134
2018-11,24910.0,9.672108925465043,3.5833333333333335,7.966666666666667,5.133333333333334,36.84082697711762,10.128718882600545,17.0,130.0,29.0,43.0,34.0,939,18588,5383,898,24012
2018-12,20205.0,9.350120432236293,3.533333333333333,7.933333333333334,5.066666666666666,36.62563721851027,10.089665123508032,16.0,77.0,29.0,42.0,34.0,719,15161,4325,591,19614
